Date,Open,High,Low,Close,Adj Close,Volume
2004-07-01,4.020000,4.250000,2.762500,3.252500,3.252500,63843600
2004-08-01,3.245000,3.315000,2.250000,3.250000,3.250000,36370800
2004-09-01,3.300000,4.285000,3.242500,3.907500,3.907500,45431600
2004-10-01,3.907500,5.150000,3.880000,5.080000,5.080000,34331200
2004-11-01,5.125000,5.675000,4.262500,4.365000,4.365000,42506000
2004-12-01,4.367500,4.417500,3.650000,4.235000,4.235000,108876400
2005-01-01,4.102500,4.550000,3.337500,3.425000,3.425000,95512000
2005-02-01,3.377500,4.217500,3.240000,4.015000,4.015000,74758800
2005-03-01,4.050000,4.247500,3.425000,3.747500,3.747500,49673200
2005-04-01,3.637500,4.095000,3.400000,3.607500,3.607500,58089600
2005-05-01,3.620000,5.082500,3.522500,5.060000,5.060000,109337600
2005-06-01,5.025000,5.495000,4.812500,5.120000,5.120000,96360800
2005-07-01,5.107500,6.020000,4.700000,5.887500,5.887500,101300000
2005-08-01,5.885000,6.287500,4.657500,4.830000,4.830000,142442800
2005-09-01,4.830000,5.995000,4.787500,5.780000,5.780000,105534000
2005-10-01,5.975000,6.432500,5.075000,6.247500,6.247500,107847600
2005-11-01,6.250000,8.025000,6.175000,7.962500,7.962500,149352000
2005-12-01,8.000000,9.047500,7.812500,8.012500,8.012500,136723200
2006-01-01,8.025000,10.747500,7.900000,10.262500,10.262500,144388000
2006-02-01,10.050000,10.217500,8.170000,8.712500,8.712500,177689600
2006-03-01,8.750000,9.950000,8.747500,9.082500,9.082500,104932400
2006-04-01,9.145000,9.467500,8.095000,8.762500,8.762500,120773200
2006-05-01,8.767500,8.882500,6.940000,7.377500,7.377500,185092000
2006-06-01,7.262500,7.807500,6.032500,6.665000,6.665000,186738800
2006-07-01,6.710000,6.747500,5.410000,6.425000,6.425000,168764400
2006-08-01,6.397500,8.775000,5.930000,8.620000,8.620000,231516000
2006-09-01,8.682500,9.675000,8.102500,8.970000,8.970000,129500800
2006-10-01,8.967500,10.555000,8.775000,9.755000,9.755000,158148000
2006-11-01,9.785000,11.145000,9.415000,9.750000,9.750000,140870800
2006-12-01,9.695000,10.222500,8.975000,9.112500,9.112500,95196800
2007-01-01,9.142500,11.080000,8.887500,10.957500,10.957500,129226400
2007-02-01,11.050000,12.607500,10.762500,10.810000,10.810000,178776400
2007-03-01,10.512500,11.150000,10.192500,10.705000,10.705000,109531200
2007-04-01,10.747500,11.520000,10.192500,10.500000,10.500000,129866800
2007-05-01,10.450000,12.490000,10.150000,11.812500,11.812500,192641600
2007-06-01,11.812500,12.062500,9.917500,10.715000,10.715000,172384800
2007-07-01,10.750000,11.500000,9.652500,9.715000,9.715000,111863600
2007-08-01,9.715000,11.845000,9.310000,10.107500,10.107500,192299200
2007-09-01,10.015000,12.937500,10.015000,12.830000,12.830000,131692800
2007-10-01,12.847500,14.382500,12.500000,14.092500,14.092500,133801600
2007-11-01,13.757500,14.500000,11.397500,14.182500,14.182500,167262000
2007-12-01,14.197500,16.379999,13.525000,15.672500,15.672500,111820800
2008-01-01,15.762500,15.887500,12.040000,12.977500,12.977500,155022800
2008-02-01,13.125000,15.867500,11.765000,14.930000,14.930000,171161600
2008-03-01,14.997500,15.475000,13.545000,14.467500,14.467500,143108000
2008-04-01,14.625000,17.412500,14.620000,16.682501,16.682501,167183200
2008-05-01,16.820000,18.674999,15.357500,18.077499,18.077499,196924000
2008-06-01,18.000000,18.802500,16.627501,17.057501,17.057501,124182800
2008-07-01,16.844999,18.092501,15.017500,15.947500,15.947500,135510400
2008-08-01,16.032499,17.930000,13.182500,14.005000,14.005000,216141200
2008-09-01,14.125000,15.060000,11.025000,12.100000,12.100000,318136800
2008-10-01,11.940000,12.125000,6.100000,7.740000,7.740000,307168400
2008-11-01,7.407500,8.037500,5.205000,7.155000,7.155000,232921600
2008-12-01,6.820000,9.112500,6.382500,8.002500,8.002500,196979600
2009-01-01,8.025000,8.807500,6.457500,6.652500,6.652500,162853600
2009-02-01,6.625000,7.785000,6.297500,7.000000,7.000000,303471600
2009-03-01,6.880000,9.257500,6.757500,8.182500,8.182500,251432400
2009-04-01,7.815000,10.770000,7.500000,10.702500,10.702500,174939200
2009-05-01,10.540000,11.372500,8.775000,9.487500,9.487500,198562800
2009-06-01,9.590000,10.437500,9.095000,9.542500,9.542500,174556800
2009-07-01,9.627500,11.295000,8.817500,10.835000,10.835000,129618800
2009-08-01,10.987500,13.750000,10.845000,12.967500,12.967500,208309600
2009-09-01,12.875000,14.767500,12.690000,14.232500,14.232500,161830000
2009-10-01,14.155000,16.250000,13.515000,14.187500,14.187500,132651600
2009-11-01,14.227500,16.930000,14.042500,15.670000,15.670000,153653200
